Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
beta[7]    -0.003   0.022 -0.073  0.000  0.000  0.000  0.000 1.117   230
beta[8]     0.060   0.069  0.000  0.000  0.000  0.121  0.195 1.695     8
beta[9]     0.002   0.048 -0.125  0.000  0.000  0.000  0.112 1.109   120
beta[10]    0.007   0.050 -0.105  0.000  0.000  0.000  0.132 1.044   190
beta[11]    0.010   0.075 -0.163  0.000  0.000  0.000  0.162 1.058   180
beta[12]    0.245   0.334  0.000  0.000  0.071  0.528  1.102 1.586     8
beta[13]   -0.010   0.051 -0.195  0.000  0.000  0.000  0.066 1.064   270
beta[14]   -0.001   0.056 -0.204  0.000  0.000  0.000  0.106 1.134    84
gamma[1]    0.391   0.488  0.000  0.000  0.000  1.000  1.000 1.696     8
gamma[2]    0.435   0.496  0.000  0.000  0.000  1.000  1.000 1.778     7
gamma[3]    0.531   0.499  0.000  0.000  1.000  1.000  1.000 2.811     5
gamma[4]    0.650   0.477  0.000  0.000  1.000  1.000  1.000 1.958     6
gamma[5]    0.229   0.420  0.000  0.000  0.000  0.000  1.000 1.274    16
gamma[6]    0.202   0.402  0.000  0.000  0.000  0.000  1.000 1.259    17
gamma[7]    0.055   0.228  0.000  0.000  0.000  0.000  1.000 1.140    67
gamma[8]    0.473   0.499  0.000  0.000  0.000  1.000  1.000 1.550     8
gamma[9]    0.128   0.334  0.000  0.000  0.000  0.000  1.000 1.208    25
gamma[10]   0.158   0.365  0.000  0.000  0.000  0.000  1.000 1.102    44
gamma[11]   0.234   0.423  0.000  0.000  0.000  0.000  1.000 1.148    26
gamma[12]   0.533   0.499  0.000  0.000  1.000  1.000  1.000 2.063     6
gamma[13]   0.120   0.325  0.000  0.000  0.000  0.000  1.000 1.164    33
gamma[14]   0.136   0.343  0.000  0.000  0.000  0.000  1.000 1.215    24
theta[1]    0.278   0.882 -1.952  0.088  0.537  0.724  1.814 1.077    40
theta[2]    0.237   0.890 -1.982  0.060  0.566  0.704  1.670 1.105    46
theta[3]    0.383   0.869 -1.985  0.371  0.665  0.761  1.605 1.183    28
theta[4]    0.509   0.714 -1.786  0.143  0.702  0.839  1.800 1.205    23
theta[5]    0.097   1.001 -2.009 -0.148  0.169  0.703  1.881 1.021   310
theta[6]    0.069   1.012 -1.997 -0.290  0.126  0.700  1.974 1.027   170
theta[7]    0.235   1.009 -1.965 -0.094  0.488  0.727  1.976 1.009   310
theta[8]    0.003   0.943 -2.004  0.057  0.130  0.532  1.503 1.052   280
theta[9]    0.222   0.970 -1.993 -0.075  0.377  0.726  1.961 1.004  1300
theta[10]   0.125   1.012 -2.002 -0.166  0.146  0.707  1.974 1.021   300
theta[11]   0.064   1.041 -2.025 -0.204  0.134  0.700  1.911 1.032    98
theta[12]   0.392   0.706 -1.759  0.115  0.550  0.709  1.801 1.119    78
theta[13]   0.168   0.963 -1.991 -0.125  0.193  0.707  1.940 1.019   240
theta[14]   0.267   0.963 -1.977  0.045  0.419  0.726  1.974 1.009  1000
xi[1]      -2.022   0.947 -4.195 -2.070 -2.001 -1.935 -0.107 1.211  4600
xi[2]      -1.851   0.913 -3.749 -1.958 -1.895 -1.821  0.358 1.228   670
xi[3]      -1.570   0.892 -3.065 -1.831 -1.777 -1.674  0.298 1.349    21
xi[4]      -1.691   0.956 -3.735 -1.751 -1.685 -1.620  0.551 1.224  5000
xi[5]      -1.414   0.977 -3.289 -1.631 -1.570 -1.489  0.940 1.275    51
xi[6]      -1.311   0.992 -3.016 -1.528 -1.467 -1.378  1.122 1.305    37
xi[7]      -1.279   0.989 -3.257 -1.428 -1.365 -1.288  1.117 1.202   340
xi[8]      -1.189   0.929 -3.041 -1.323 -1.261 -1.187  0.862 1.212   320
xi[9]      -1.150   0.936 -3.119 -1.228 -1.159 -1.092  0.794 1.222  5000
xi[10]     -1.012   0.924 -2.993 -1.111 -1.047 -0.970  0.818 1.223  1000
xi[11]     -0.907   0.978 -2.857 -1.006 -0.942 -0.868  1.072 1.229   750
xi[12]     -0.843   0.966 -2.841 -0.913 -0.843 -0.777  1.236 1.202  5000
xi[13]     -0.746   0.981 -2.829 -0.802 -0.737 -0.666  1.235 1.237  5000
xi[14]     -0.633   0.909 -2.722 -0.695 -0.630 -0.562  1.350 1.218  5000
xi[15]     -0.529   0.936 -2.557 -0.594 -0.527 -0.458  1.509 1.225  5000
xi[16]     -0.415   0.892 -2.363 -0.483 -0.420 -0.348  1.528 1.220  5000
xi[17]     -0.341   0.952 -2.461 -0.388 -0.316 -0.247  1.569 1.232  2400
xi[18]     -0.240   0.946 -2.231 -0.283 -0.212 -0.146  1.536 1.239  1200
xi[19]     -0.084   0.921 -2.062 -0.172 -0.106 -0.038  2.016 1.228  1700
xi[20]      0.002   0.919 -1.968 -0.065  0.002  0.076  2.101 1.201  5000
xi[21]      0.112   0.955 -1.909  0.047  0.114  0.167  2.324 1.223  5000
xi[22]      0.195   0.881 -1.833  0.135  0.200  0.268  2.110 1.207  4400
xi[23]      0.336   0.936 -1.415  0.248  0.317  0.387  2.312 1.234  1100
xi[24]      0.408   0.985 -1.760  0.351  0.421  0.490  2.512 1.235  5000
xi[25]      0.511   0.895 -1.442  0.457  0.530  0.595  2.509 1.229  3400
xi[26]      0.640   0.992 -1.415  0.569  0.635  0.703  2.590 1.234  5000
xi[27]      0.726   0.933 -1.243  0.665  0.724  0.800  2.806 1.232  5000
xi[28]      0.841   0.910 -1.059  0.765  0.842  0.907  2.707 1.227  5000
xi[29]      0.944   0.945 -0.962  0.874  0.943  1.009  2.932 1.218  5000
xi[30]      1.035   0.953 -1.013  0.976  1.049  1.115  2.996 1.230  3200
xi[31]      1.147   0.892 -0.853  1.087  1.156  1.224  3.067 1.215  5000
xi[32]      1.265   0.926 -0.802  1.190  1.262  1.327  3.377 1.219  5000
xi[33]      1.365   0.968 -0.653  1.297  1.368  1.436  3.369 1.223  5000
xi[34]      1.489   0.909 -0.423  1.406  1.475  1.544  3.447 1.217  1900
xi[35]      1.577   0.921 -0.356  1.508  1.578  1.645  3.625 1.212  5000
xi[36]      1.673   0.974 -0.365  1.612  1.684  1.751  3.700 1.220  1400
xi[37]      1.764   0.969 -0.441  1.718  1.788  1.853  3.669 1.217  1900
xi[38]      1.887   0.913 -0.074  1.828  1.894  1.964  3.716 1.230  5000
xi[39]      1.962   0.929 -0.081  1.929  1.999  2.064  3.945 1.221  1100
deviance   12.889   6.176  3.276  7.726 12.374 18.134 24.837 1.292    13

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 14.3 and DIC = 27.2
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_ordered.jags", fit using jags,
 4 chains, each with 72500 iterations (first 10000 discarded), n.thin = 50
 n.sims = 5000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       23.143   6.667  6.000 21.000 22.000 25.000 39.000 1.091   190
S[2]       23.171   7.327  4.000 21.000 23.000 26.000 39.000 1.114   190
S[3]       25.033   4.934 14.000 22.000 25.000 28.000 32.000 1.197    36
S[4]       23.878   5.584  8.000 22.000 24.000 26.000 38.000 1.166   180
S[5]       22.524   7.450  3.000 20.000 22.000 25.000 39.000 1.039  1200
S[6]       23.545   6.547  6.000 21.000 23.000 26.000 39.000 1.070   400
S[7]       22.755   7.537  3.000 20.000 22.000 26.000 39.000 1.075   410
S[8]       23.201   5.983  5.000 21.000 22.000 25.000 39.000 1.072   470
S[9]       23.423   7.552  4.000 21.000 23.000 26.000 39.000 1.044   550
S[10]      23.789   7.057  6.000 21.000 23.000 27.000 39.000 1.067   340
S[11]      23.946   6.536  5.000 21.000 23.000 26.000 39.000 1.149    81
S[12]      22.958   3.414 16.000 21.000 23.000 25.000 29.000 1.121    55
S[13]      22.665   7.039 14.000 17.000 21.000 26.000 39.000 1.191    19
S[14]      21.641   7.812  4.000 16.000 21.000 25.000 39.000 1.064    99
beta[1]     0.054   0.138 -0.246  0.000  0.000  0.136  0.357 1.049   190
beta[2]     0.063   0.154 -0.002  0.000  0.000  0.106  0.578 1.313    25
beta[3]     0.505   0.379  0.000  0.178  0.479  0.884  1.111 1.720     7
beta[4]     0.202   0.240  0.000  0.000  0.153  0.314  0.885 1.221    19
beta[5]     0.015   0.080 -0.154  0.000  0.000  0.000  0.207 1.215    22
beta[6]     0.041   0.095 -0.073  0.000  0.000  0.000  0.255 1.582     9
beta[7]    -0.005   0.023 -0.093  0.000  0.000  0.000  0.000 1.061   210
beta[8]     0.097   0.093  0.000  0.000  0.108  0.178  0.255 1.487     9
beta[9]     0.018   0.084 -0.122  0.000  0.000  0.000  0.252 1.089   110
beta[10]    0.016   0.085 -0.151  0.000  0.000  0.000  0.217 1.081   720
beta[11]    0.105   0.171  0.000  0.000  0.000  0.180  0.621 1.262    16
beta[12]    0.287   0.249  0.000  0.072  0.230  0.483  0.757 1.310    12
beta[13]   -0.114   0.187 -0.543 -0.250  0.000  0.000  0.000 1.748     8
beta[14]   -0.103   0.194 -0.546 -0.225  0.000  0.000  0.120 1.787     7
gamma[1]    0.395   0.489  0.000  0.000  0.000  1.000  1.000 1.072    41
gamma[2]    0.306   0.461  0.000  0.000  0.000  1.000  1.000 1.054    57
gamma[3]    0.835   0.372  0.000  1.000  1.000  1.000  1.000 1.127    34
gamma[4]    0.599   0.490  0.000  0.000  1.000  1.000  1.000 1.162    20
gamma[5]    0.209   0.406  0.000  0.000  0.000  0.000  1.000 1.186    22
gamma[6]    0.282   0.450  0.000  0.000  0.000  1.000  1.000 1.355    12
gamma[7]    0.060   0.238  0.000  0.000  0.000  0.000  1.000 1.022   400
gamma[8]    0.568   0.495  0.000  0.000  1.000  1.000  1.000 1.297    12
gamma[9]    0.182   0.386  0.000  0.000  0.000  0.000  1.000 1.015   260
gamma[10]   0.208   0.406  0.000  0.000  0.000  0.000  1.000 1.060    62
gamma[11]   0.419   0.493  0.000  0.000  0.000  1.000  1.000 1.213    16
gamma[12]   0.779   0.415  0.000  1.000  1.000  1.000  1.000 1.287    15
gamma[13]   0.344   0.475  0.000  0.000  0.000  1.000  1.000 1.575     8
gamma[14]   0.335   0.472  0.000  0.000  0.000  1.000  1.000 1.610     8
theta[1]    0.335   0.704 -1.523  0.122  0.214  0.569  1.963 1.074    70
theta[2]    0.337   0.770 -1.710  0.121  0.219  0.613  1.987 1.050   540
theta[3]    0.528   0.525 -0.590  0.216  0.520  0.900  1.188 1.296    14
theta[4]    0.409   0.591 -1.300  0.173  0.342  0.597  1.889 1.066   120
theta[5]    0.265   0.786 -1.780  0.094  0.206  0.556  1.976 1.055   110
theta[6]    0.370   0.687 -1.461  0.131  0.220  0.620  1.968 1.083    71
theta[7]    0.292   0.794 -1.790  0.069  0.215  0.604  1.976 1.044   190
theta[8]    0.335   0.630 -1.539  0.141  0.208  0.485  1.948 1.094   100
theta[9]    0.357   0.797 -1.717  0.110  0.219  0.690  2.006 1.034   180
theta[10]   0.398   0.744 -1.466  0.118  0.230  0.702  2.000 1.042   100
theta[11]   0.408   0.688 -1.541  0.151  0.256  0.693  1.987 1.088    65
theta[12]   0.321   0.350 -0.407  0.160  0.310  0.496  0.933 1.139    33
theta[13]   0.287   0.742 -0.637 -0.313  0.155  0.694  1.998 1.266    14
theta[14]   0.178   0.825 -1.720 -0.379  0.137  0.577  1.986 1.139    25
xi[1]      -2.001   0.127 -2.232 -2.046 -2.001 -1.957 -1.766 1.016  5000
xi[2]      -1.896   0.125 -2.121 -1.942 -1.897 -1.851 -1.663 1.026  5000
xi[3]      -1.791   0.129 -2.021 -1.834 -1.790 -1.745 -1.569 1.013  5000
xi[4]      -1.685   0.127 -1.905 -1.730 -1.685 -1.639 -1.460 1.026  5000
xi[5]      -1.578   0.128 -1.803 -1.624 -1.579 -1.534 -1.345 1.041  2900
xi[6]      -1.471   0.119 -1.703 -1.518 -1.474 -1.426 -1.252 1.017  5000
xi[7]      -1.370   0.128 -1.615 -1.413 -1.368 -1.322 -1.156 1.020  5000
xi[8]      -1.261   0.124 -1.489 -1.306 -1.260 -1.215 -1.036 1.022  3000
xi[9]      -1.161   0.119 -1.394 -1.206 -1.161 -1.115 -0.945 1.028  5000
xi[10]     -1.053   0.127 -1.283 -1.099 -1.054 -1.008 -0.820 1.026  5000
xi[11]     -0.950   0.129 -1.190 -0.993 -0.948 -0.903 -0.730 1.038  2400
xi[12]     -0.843   0.130 -1.064 -0.887 -0.844 -0.799 -0.612 1.028  5000
xi[13]     -0.737   0.123 -0.951 -0.782 -0.736 -0.691 -0.504 1.024  5000
xi[14]     -0.631   0.127 -0.862 -0.675 -0.631 -0.585 -0.404 1.023  1800
xi[15]     -0.524   0.124 -0.745 -0.569 -0.524 -0.480 -0.284 1.019  5000
xi[16]     -0.417   0.127 -0.632 -0.462 -0.419 -0.375 -0.190 1.043  2200
xi[17]     -0.320   0.117 -0.535 -0.365 -0.319 -0.276 -0.107 1.027  1100
xi[18]     -0.207   0.123 -0.417 -0.253 -0.210 -0.163  0.033 1.032  3800
xi[19]     -0.100   0.126 -0.327 -0.146 -0.105 -0.060  0.160 1.032   920
xi[20]      0.005   0.123 -0.229 -0.045  0.002  0.052  0.254 1.033   190
xi[21]      0.111   0.121 -0.112  0.071  0.116  0.155  0.324 1.019   770
xi[22]      0.216   0.123  0.006  0.168  0.210  0.251  0.469 1.044   460
xi[23]      0.306   0.121  0.088  0.258  0.309  0.355  0.517 1.034  2100
xi[24]      0.415   0.125  0.174  0.372  0.420  0.468  0.633 1.023   610
xi[25]      0.525   0.117  0.309  0.482  0.524  0.568  0.735 1.024   820
xi[26]      0.626   0.123  0.390  0.581  0.628  0.676  0.857 1.023  2200
xi[27]      0.739   0.128  0.521  0.693  0.735  0.782  0.978 1.029   880
xi[28]      0.844   0.120  0.615  0.801  0.845  0.891  1.060 1.027  1500
xi[29]      0.943   0.125  0.701  0.903  0.947  0.990  1.152 1.030   480
xi[30]      1.052   0.124  0.827  1.008  1.051  1.096  1.268 1.024  2700
xi[31]      1.156   0.126  0.942  1.108  1.155  1.199  1.388 1.020  5000
xi[32]      1.262   0.126  1.041  1.216  1.263  1.308  1.492 1.042  4200
xi[33]      1.369   0.121  1.140  1.323  1.368  1.413  1.592 1.009  5000
xi[34]      1.473   0.125  1.250  1.430  1.474  1.518  1.699 1.029  5000
xi[35]      1.577   0.123  1.355  1.534  1.579  1.623  1.798 1.038   790
xi[36]      1.688   0.119  1.477  1.642  1.686  1.730  1.907 1.018  2100
xi[37]      1.789   0.124  1.573  1.746  1.789  1.835  2.012 1.049  3600
xi[38]      1.893   0.129  1.672  1.850  1.894  1.937  2.113 1.057  5000
xi[39]      1.999   0.119  1.773  1.953  2.000  2.044  2.241 1.048  1600
deviance   10.166   5.555 -0.408  6.390 10.350 13.390 21.357 1.238    15

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 12.2 and DIC = 22.4
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_ordered.jags", fit using jags,
 4 chains, each with 72500 iterations (first 10000 discarded), n.thin = 50
 n.sims = 5000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       23.351   6.277  7.000 21.000 22.000 26.000 38.000 1.071   260
S[2]       23.021   7.434  4.000 21.000 22.000 26.000 39.000 1.193    37
S[3]       23.896   5.025  9.000 22.000 24.000 26.000 33.000 1.344    28
S[4]       25.319   4.387 19.000 22.000 25.000 27.000 35.000 1.325    20
S[5]       22.395   7.184  4.000 20.000 22.000 26.000 39.000 1.041   110
S[6]       21.519   7.459  5.000 20.000 22.000 25.000 39.000 1.417    12
S[7]       22.923   7.441  5.975 20.000 22.000 26.000 39.000 1.082    59
S[8]       22.658   6.874  5.000 21.000 22.000 25.000 39.000 1.251    26
S[9]       22.040   7.777  3.000 20.000 22.000 25.000 39.000 1.087    78
S[10]      22.314   7.924  2.000 20.000 22.000 26.000 39.000 1.141    34
S[11]      22.771   6.987  4.000 21.000 22.000 26.000 39.000 1.186    39
S[12]      23.432   4.553  8.975 22.000 24.000 25.000 31.000 1.290    70
S[13]      22.047   7.882  4.000 17.000 22.000 26.000 39.000 1.095    47
S[14]      21.199   8.172  3.000 16.000 21.000 25.000 39.000 1.274    18
beta[1]     0.119   0.242  0.000  0.000  0.000  0.157  0.918 1.505    13
beta[2]     0.041   0.077  0.000  0.000  0.000  0.095  0.201 2.020     6
beta[3]     0.333   0.313  0.000  0.000  0.220  0.485  0.999 1.491     9
beta[4]     0.501   0.391  0.000  0.182  0.482  0.674  1.454 1.859     7
beta[5]     0.056   0.177 -0.095  0.000  0.000  0.000  0.632 1.515    12
beta[6]    -0.067   0.375 -1.278  0.000  0.000  0.102  0.219 1.684     9
beta[7]    -0.005   0.024 -0.102  0.000  0.000  0.000  0.000 1.057   230
beta[8]     0.067   0.081  0.000  0.000  0.000  0.144  0.220 1.960     6
beta[9]     0.002   0.059 -0.100  0.000  0.000  0.000  0.148 1.142    50
beta[10]    0.012   0.048 -0.009  0.000  0.000  0.000  0.177 1.151    48
beta[11]    0.021   0.062 -0.042  0.000  0.000  0.000  0.218 1.328    16
beta[12]    0.373   0.310  0.000  0.116  0.447  0.507  1.113 1.346    14
beta[13]   -0.082   0.171 -0.532  0.000  0.000  0.000  0.000 1.945     7
beta[14]   -0.071   0.182 -0.550  0.000  0.000  0.000  0.124 1.821     8
gamma[1]    0.401   0.490  0.000  0.000  0.000  1.000  1.000 1.502     9
gamma[2]    0.300   0.458  0.000  0.000  0.000  1.000  1.000 1.715     8
gamma[3]    0.714   0.452  0.000  0.000  1.000  1.000  1.000 1.979     6
gamma[4]    0.879   0.326  0.000  1.000  1.000  1.000  1.000 1.440    13
gamma[5]    0.224   0.417  0.000  0.000  0.000  0.000  1.000 1.125    31
gamma[6]    0.419   0.493  0.000  0.000  0.000  1.000  1.000 1.495     9
gamma[7]    0.065   0.247  0.000  0.000  0.000  0.000  1.000 1.016   520
gamma[8]    0.453   0.498  0.000  0.000  0.000  1.000  1.000 1.561     8
gamma[9]    0.116   0.320  0.000  0.000  0.000  0.000  1.000 1.026   200
gamma[10]   0.139   0.346  0.000  0.000  0.000  0.000  1.000 1.067    71
gamma[11]   0.197   0.398  0.000  0.000  0.000  0.000  1.000 1.187    23
gamma[12]   0.813   0.390  0.000  1.000  1.000  1.000  1.000 1.153    27
gamma[13]   0.260   0.439  0.000  0.000  0.000  1.000  1.000 1.562     9
gamma[14]   0.281   0.450  0.000  0.000  0.000  1.000  1.000 1.732     7
theta[1]    0.363   0.660 -1.407  0.123  0.228  0.635  1.914 1.063    94
theta[2]    0.324   0.776 -1.667  0.109  0.205  0.597  1.980 1.137    38
theta[3]    0.420   0.523 -1.182  0.180  0.481  0.695  1.354 1.248    43
theta[4]    0.564   0.454 -0.103  0.220  0.485  0.745  1.542 1.530     9
theta[5]    0.260   0.749 -1.658  0.080  0.218  0.591  1.932 1.069    56
theta[6]    0.170   0.779 -1.602  0.080  0.194  0.484  1.932 1.402    12
theta[7]    0.316   0.779 -1.550  0.058  0.222  0.630  1.979 1.079    46
theta[8]    0.290   0.719 -1.562  0.110  0.195  0.490  1.945 1.178    27
theta[9]    0.223   0.815 -1.782  0.040  0.196  0.569  1.952 1.076    76
theta[10]   0.254   0.831 -1.847  0.074  0.215  0.615  1.959 1.153    26
theta[11]   0.301   0.729 -1.618  0.096  0.218  0.580  1.937 1.130    36
theta[12]   0.373   0.476 -1.209  0.169  0.478  0.558  1.196 1.232    59
theta[13]   0.220   0.828 -1.696 -0.344  0.155  0.630  1.963 1.142    24
theta[14]   0.136   0.855 -1.769 -0.410  0.135  0.520  1.971 1.256    15
xi[1]      -2.002   0.101 -2.206 -2.042 -2.000 -1.960 -1.810 1.031  3800
xi[2]      -1.895   0.097 -2.093 -1.935 -1.895 -1.854 -1.700 1.023  5000
xi[3]      -1.787   0.104 -1.965 -1.828 -1.789 -1.747 -1.598 1.055  4700
xi[4]      -1.685   0.101 -1.887 -1.725 -1.684 -1.644 -1.497 1.027  5000
xi[5]      -1.579   0.106 -1.786 -1.621 -1.579 -1.539 -1.380 1.034  5000
xi[6]      -1.474   0.108 -1.681 -1.514 -1.474 -1.432 -1.293 1.031  5000
xi[7]      -1.366   0.111 -1.566 -1.408 -1.369 -1.325 -1.151 1.057   590
xi[8]      -1.262   0.109 -1.459 -1.304 -1.262 -1.220 -1.063 1.053  3800
xi[9]      -1.159   0.103 -1.350 -1.202 -1.160 -1.119 -0.954 1.026  5000
xi[10]     -1.057   0.105 -1.261 -1.096 -1.054 -1.013 -0.868 1.031  2500
xi[11]     -0.946   0.107 -1.137 -0.988 -0.947 -0.906 -0.748 1.038  5000
xi[12]     -0.842   0.109 -1.042 -0.882 -0.841 -0.801 -0.642 1.043  5000
xi[13]     -0.736   0.108 -0.943 -0.779 -0.738 -0.695 -0.525 1.039  5000
xi[14]     -0.632   0.105 -0.827 -0.673 -0.631 -0.590 -0.435 1.036  2400
xi[15]     -0.524   0.104 -0.730 -0.565 -0.523 -0.483 -0.336 1.031  3900
xi[16]     -0.423   0.099 -0.622 -0.461 -0.422 -0.382 -0.244 1.022  5000
xi[17]     -0.315   0.100 -0.512 -0.356 -0.314 -0.272 -0.129 1.027  5000
xi[18]     -0.207   0.098 -0.403 -0.250 -0.209 -0.167  0.000 1.024  1600
xi[19]     -0.098   0.104 -0.283 -0.142 -0.101 -0.058  0.122 1.040   920
xi[20]     -0.001   0.103 -0.208 -0.043  0.001  0.043  0.185 1.031  5000
xi[21]      0.109   0.096 -0.088  0.073  0.111  0.150  0.281 1.045   780
xi[22]      0.203   0.094  0.026  0.165  0.200  0.240  0.390 1.032   580
xi[23]      0.320   0.104  0.137  0.277  0.317  0.358  0.527 1.038  1100
xi[24]      0.429   0.105  0.240  0.387  0.431  0.478  0.619 1.047   330
xi[25]      0.525   0.100  0.356  0.482  0.518  0.563  0.720 1.061   240
xi[26]      0.632   0.106  0.445  0.590  0.631  0.671  0.854 1.024  1200
xi[27]      0.740   0.098  0.566  0.696  0.738  0.780  0.950 1.021  3200
xi[28]      0.844   0.107  0.658  0.803  0.845  0.886  1.025 1.048  2400
xi[29]      0.947   0.105  0.739  0.907  0.947  0.988  1.151 1.025  5000
xi[30]      1.051   0.103  0.856  1.011  1.052  1.090  1.242 1.039   700
xi[31]      1.159   0.102  0.972  1.118  1.158  1.197  1.363 1.030   890
xi[32]      1.260   0.111  1.059  1.220  1.261  1.302  1.447 1.048  3700
xi[33]      1.368   0.104  1.175  1.329  1.368  1.410  1.556 1.026  1900
xi[34]      1.470   0.104  1.277  1.430  1.472  1.511  1.663 1.085  1200
